short_name,overall,pace,shooting,passing,dribbling,defending,physic
J. Słowik,64,,,,,,
M. Le Bihan,64,72,61,53,66,44,70
L. Boyce,64,75,65,46,60,30,77
B. Balogh,64,70,36,60,66,61,66
Regalón,64,68,36,49,52,62,73
R. Freuler,64,66,63,63,62,53,68
E. Cummins,64,,,,,,
K. Alhassan,64,79,50,61,68,46,62
T. Smith,64,76,29,60,63,63,67
O. Roshi,64,90,58,58,68,40,62
O. Cissé,64,39,28,32,35,65,81
M. Ngoo,64,78,60,45,61,31,70
R. Baca,64,46,56,66,65,56,63
W. Golla,64,63,35,48,45,65,70
M. Thiede,64,68,54,62,68,37,55
M. Sourzac,64,,,,,,
D. Djokovic,64,65,52,65,64,55,69
J. Ojala,64,53,30,45,49,66,70
Felipe,64,69,63,62,67,46,62
D. Blum,64,82,60,56,69,32,63
Q. Bernard,64,68,55,62,57,66,69
K. Dobras,64,70,58,64,66,38,57
L. Zuffi,64,64,62,71,60,44,63
A. Alsdairy,64,,,,,,
T. Gabuza,64,70,63,39,60,34,72
M. Osuna,64,73,58,60,60,65,66
G. Puel,64,71,33,56,62,63,58
E. Farias,64,56,46,55,58,64,72
J. Quiñónes,64,33,34,48,44,62,77
J. Arias,64,70,27,51,52,62,75
O. Huerta,64,74,65,58,67,42,46
A. Nieves,64,42,27,36,37,65,80
J. Nájera,64,67,54,64,65,53,58
J. Mosquera,64,61,43,56,63,64,67
Y. Rivera,64,59,63,36,65,29,68
L. Castro,64,71,61,55,63,27,64
R. Gattás,64,57,67,53,67,31,58
F. Rasmussen,64,55,32,44,53,63,71
G. Sepúlveda,64,49,49,54,58,68,73
P. Troncoso,64,80,50,55,66,62,65
J. Rebolledo,64,63,46,64,65,37,60
C. Rius,64,79,54,60,68,32,62
C. Lema,64,47,35,47,48,65,69
A. Silva,64,,,,,,
B. Vriends,64,58,31,44,48,61,75
M. Al Laham,64,70,62,66,61,32,64
W. Mazzolatti,64,69,66,49,64,29,62
E. Ellacópulos,64,64,58,60,66,55,67
I. Herrera,64,77,62,55,66,28,63
M. Miloš,64,70,47,63,61,60,70
S. Heltne Nilsen,64,67,51,58,64,58,79
M. Ben Othman,64,68,60,61,65,27,55
J. Rodríguez,64,65,65,45,62,26,62
B. Parlak,64,64,53,45,56,64,74
S. Griesbeck,64,55,44,55,58,65,76
E. Kaş,64,74,56,61,65,36,60
T. van Weert,64,65,64,48,61,27,58
D. González,64,73,48,61,66,35,53
A. Damčevski,64,43,31,41,49,62,75
Israel,64,74,50,58,73,31,55
B. Clarke,64,70,64,54,68,32,67
G. Karanović,64,80,57,50,63,36,64
M. O'Connor,64,68,64,67,62,61,69
N. Sturgis,64,55,59,62,60,61,66
M. Junglas,64,68,58,63,65,58,74
C. Humphrey,64,92,53,57,64,28,69
W. Fogden,64,78,49,59,65,41,63
D. Marcq,64,63,33,58,58,64,72
O. Sissoko,64,,,,,,
P. Helland,64,74,66,60,66,36,64
G. Margreitter,64,58,33,38,49,62,80
F. Santos,64,76,62,61,66,41,60
A. Bouka Moutou,64,71,27,58,65,61,67
G. Woods,64,,,,,,
A. Gallardo,64,67,49,58,62,61,72
M. Olsson,64,81,57,58,62,45,62
M. Seidl,64,67,62,67,61,61,71
E. Butin,64,70,62,57,62,31,60
S. Hanni,64,71,59,59,67,27,51
C. Klem,64,81,49,61,66,61,59
S. Salviato,64,71,48,54,58,61,78
P. Madden,64,78,63,49,62,29,65
D. Templeton,64,86,59,57,68,46,60
J. Clarke,64,79,34,55,61,63,67
Ortuño,64,67,64,47,61,29,57
S. Al Beshi,64,75,48,57,60,62,71
João Victor,64,56,47,65,55,63,65
D. Duka,64,69,61,60,68,42,65
O. Jiménez,64,,,,,,
D. Mayor,64,82,58,58,69,32,60
Escassi,64,58,40,60,48,63,67
R. Petrović,64,57,58,62,59,59,72
J. Acosta,64,57,55,65,71,32,56
D. Hediger,64,71,54,62,61,50,85
Hwang Il Su,64,82,51,59,68,30,61
F. Koch,64,88,47,57,69,61,63
B. Sulimani,64,71,64,53,66,27,69
Benja,64,57,66,47,56,32,74
J. Kabananga,64,75,63,52,65,28,68
M. Esser,64,,,,,,
Kim Won Il,64,67,34,40,37,66,75
M. Korhut,64,74,24,54,65,65,59
J. Willis,64,,,,,,
B. Añor,64,67,65,64,65,46,71
H. Jimenez,64,79,62,59,67,55,61
D. Offenbacher,64,79,59,65,70,52,63
Choi Hyun Tae,64,67,69,64,63,63,68
Nuno Henrique,64,64,38,43,53,66,66
G. Koçer,64,78,64,61,66,26,57
M. Seuntjens,64,67,62,63,66,57,66
Cristian Fernández,64,84,58,55,63,30,65
Igor Rossi,64,50,28,51,53,65,64
J. Villareal,64,72,64,61,71,39,62
J. Garrero,64,65,45,62,62,61,59
M. Klauß,64,80,61,59,67,27,61
P. Stepanets,64,68,38,57,55,65,67
E. Osipov,64,62,29,45,35,65,70
Elízio,64,75,40,51,63,63,70
Bruno Moreira,64,53,67,46,60,30,58
A. Mayof,64,,,,,,
M. Al Bishi,64,79,40,59,65,45,65
Iago Díaz,64,81,58,58,67,31,53
Bruninho,64,74,65,54,67,27,58
J. Gondorf,64,72,50,61,62,61,75
J. Ring,64,75,55,59,71,37,59
S. Rivera,64,72,55,61,68,53,68
N. Plange,64,76,55,67,73,61,58
S. Nutz,64,71,60,63,71,58,64
E. García,64,76,46,60,68,56,52
S. Silva,64,63,32,44,49,67,59
Pedro Coronas,64,76,60,57,66,29,54
E. Markkanen,64,62,66,49,54,30,71
D. González,64,49,30,41,42,63,80
J. Fortes,64,78,45,59,62,61,70
K. Vandendriessche,64,62,61,60,57,62,84
L. Prichoda,64,79,52,56,67,28,60
M. Benítez,64,78,38,58,61,61,66
J. Ortega,64,70,62,45,56,38,59
João Pedro,64,48,38,42,40,65,72
R. Harris,64,77,48,56,62,64,65
B. Alnwick,64,,,,,,
E. Børufsen,64,68,60,62,63,51,79
M. Spelmann,64,65,52,63,61,65,73
L. Nyatanga,64,70,28,42,51,65,70
J. Wilson,64,68,29,49,56,64,69
A. Van Loo,64,73,36,57,60,63,64
L. Nielsen,64,70,36,61,59,66,67
S. Darby,64,76,35,53,63,63,77
S. Church,64,72,62,59,63,39,68
M. Nichols,64,70,59,62,64,54,62
A. Blanco,64,,,,,,
I. Haddad,64,66,47,53,55,62,70
N. Daghfous,64,75,61,61,68,42,62
D. Beichler,64,79,62,61,66,40,58
F. Navarro,64,91,52,63,71,60,50
F. Robert,64,67,62,55,69,28,47
J. O'Brien,64,72,59,64,65,56,70
L. Silva,64,61,47,54,52,64,68
B. Easton,64,64,26,55,59,63,77
J. Tshibamba,64,72,62,46,65,29,68
B. Khumalo,64,73,29,34,35,65,74
I. N'Diaye,64,67,55,57,60,61,77
A. Nuhiu,64,50,63,55,63,32,78
M. Buchalik,64,,,,,,
Guedes,64,72,63,49,64,28,58
S. Cronin,64,68,58,63,62,60,71
M. Stephens,64,65,56,64,65,50,63
Berrocal,64,55,63,42,55,30,65
Arthur Henrique,64,69,63,65,68,62,66
S. Villalobos,64,74,61,61,66,47,69
C. Trimmel,64,86,61,63,67,57,77
D. Drocco,64,68,54,65,70,51,72
S. Pal,64,,,,,,
J. Raitala,64,67,35,56,57,64,71
T. Tchani,64,69,55,56,62,60,85
E. Alexander,64,68,61,63,65,54,66
P. Arajuuri,64,47,28,38,42,61,78
E. Faccioli,64,54,31,39,39,64,75
J. Williams,64,69,57,55,61,65,71
C. Wernitznig,64,75,66,57,70,38,65
J. Brovsky,64,67,56,56,62,66,71
M. Pusic,64,64,70,53,62,28,63
E. Finlay,64,91,63,56,65,41,64
A. Rose,64,78,64,56,62,56,73
M. Kerhe,64,84,53,58,66,57,60
S. Hébras,64,73,60,63,64,39,59
L. Sánchez,64,76,49,61,66,58,66
M. Al Musa,64,63,40,52,60,61,83
M. Al Eisa,64,77,57,62,65,47,72
J. Oumari,64,59,37,42,41,66,70
G. Mera,64,59,27,41,44,65,78
I. Rivas,64,70,48,61,66,51,71
T. Trdina,64,68,62,40,57,31,71
S. Balanovich,64,69,59,60,64,39,53
H. Hechalar,64,78,58,57,67,26,52
Borja Lázaro,64,56,66,46,60,30,63
G. Monzón,64,,,,,,
Ancelmo Júnior,64,68,56,68,65,46,55
L. Holmes,64,77,54,62,67,32,56
M. Bates,64,65,31,42,46,64,72
M. Fraga,64,,,,,,
C. Woods,64,75,52,59,61,64,64
M. Paterson,64,78,65,49,61,30,67
A. Kokoszka,64,71,38,41,50,65,79
S. Siani,64,71,62,63,68,60,67
E. Mejía,64,64,41,64,58,62,67
F. Grillo,64,68,43,57,63,62,62
David Caiado,64,75,62,58,69,30,62
E. Omozusi,64,73,25,54,61,62,75
R. Rogers,64,79,61,62,66,63,63
K. Barbarouses,64,80,62,53,66,30,59
M. de Luna,64,61,34,44,47,61,73
S. Dewaest,64,54,32,44,36,64,73
E. Güngör,64,54,35,53,45,64,70
B. Poulain,64,47,24,43,38,65,75
M. Sema,64,80,61,56,72,32,48
T. Söderberg,64,34,29,39,42,62,78
Aridane,64,45,64,41,51,31,76
A. Aras,64,50,68,42,63,28,60
D. Estrada,64,76,63,53,63,43,65
A. Faltsetas,64,58,60,63,57,60,78
V. Prodell,64,66,61,47,58,28,63
E. Asante,64,93,58,53,69,49,53
B. van Hintum,64,67,50,63,64,65,64
A. Frączczak,64,78,57,64,64,59,77
Vilarchao,64,54,57,67,67,38,46
G. Houla,64,82,58,56,67,52,51
B. Acosta,64,66,45,41,50,63,76
M. Arini,64,63,47,61,61,54,78
E. Ávila,64,59,26,33,42,64,72
Wander,64,68,57,61,70,25,53
J. Martínez,64,74,38,52,59,62,69
A. Wilbraham,64,44,63,56,56,29,76
E. Hoff,64,73,66,58,67,39,68
Filipe Anunciação,64,50,48,63,59,65,60
J. McCombe,64,45,30,39,31,62,77
C. Weale,64,,,,,,
A. Smith,64,42,61,61,63,63,74
N. Hunt,64,63,61,54,62,38,74
C. Keller,64,53,55,63,63,67,76
L. Guttridge,64,70,58,64,67,48,65
Luís Olim,64,65,48,59,61,65,63
P. Kristiansen,64,,,,,,
E. Ekobo,64,50,47,59,53,64,77
B. Robson,64,55,69,70,67,58,76
K. Begois,64,,,,,,
F. Kippe,64,30,56,50,39,62,78
P. Ingelsten,64,81,65,50,63,34,67
J. Jönsson,64,59,49,53,51,59,79
A. Nef,64,36,33,43,31,64,69
K. Bach Bak,64,67,41,48,49,64,80
H. Hansen,64,68,56,63,68,33,65
T. Bechmann,64,72,63,55,64,28,65
N. Høgh,64,55,38,41,41,64,77
D. Arnaud,64,67,66,64,65,55,67
K. Kuzera,64,73,51,55,62,61,70
S. Kulovits,64,72,54,53,62,66,75
B. Chorley,64,50,31,45,41,62,81
D. Harding,64,67,46,62,60,63,67
L. Hirschfeld,64,,,,,,
L. Price,64,,,,,,
M. Hahnemann,64,,,,,,
S. Parnaby,64,70,45,53,57,63,70
P. Platins,64,,,,,,
A. Görlitz,64,68,52,60,63,62,68
K. Høie,64,,,,,,
D. Martinelli,64,54,44,48,54,65,67
B. Castro,64,,,,,,
F. Jarjat,64,37,39,55,51,60,72
César Caneda,64,60,41,51,50,62,68
Diego Rivas,64,33,50,56,49,66,73
F. Diawara,64,65,47,60,52,62,70
F. Modesto,64,76,55,59,60,61,73
M. Wölfli,64,,,,,,
Cristian,64,86,55,60,67,58,66
I. Sonko,64,52,38,39,45,64,73
L. Miller,64,62,65,60,60,39,76
R. Earnshaw,64,69,63,59,67,33,52
J. Easter,64,78,61,58,66,28,69
S. Lappin,64,52,54,66,67,59,51
M. Bergvold,64,70,54,66,64,42,67
A. Cebe,64,79,56,60,67,50,67
J. Griffiths,64,71,64,60,62,33,63
Hyun Young Min,64,81,54,60,65,62,73
Ko Chang Hyun,64,51,58,64,67,32,48
W. Bressan,64,,,,,,
M. Cottafava,64,33,26,38,45,67,60
O. Schröder,64,41,39,52,54,64,81
R. Kienast,64,62,63,53,60,32,80
J. Jewsbury,64,69,60,63,64,61,72
T. Dunivant,64,55,51,61,62,65,64
Alberto Aguilar,64,53,48,54,54,62,71
L. Guillon,64,33,35,47,41,66,60
J. Viale,64,66,67,54,59,28,64
M. Pfertzel,64,64,43,54,60,64,74
Leandro Augusto,64,55,60,68,61,58,62
B. Howard,64,49,60,70,65,41,55
A. Medina,64,75,60,61,66,29,65
I. Evatt,64,41,38,42,41,64,69
F. Torres,64,75,62,64,68,61,65
K. Djellabi,64,67,46,57,60,59,71
A. Ponce,64,47,60,68,64,62,66
N. Collins,64,42,34,45,51,64,73
L. Mazzoni,64,,,,,,
E. Cesnauskis,64,60,64,66,64,51,71
F. Pacheco,64,64,61,64,65,66,71
S. Romero,64,67,64,66,68,51,56
J. Quiroga,64,67,50,58,52,65,67
C. Muñoz,64,,,,,,
L. Vella,64,66,46,60,63,62,63
A. Erçetin,64,,,,,,
J. Høiland,64,68,48,55,55,63,72
M. Sahlman,64,,,,,,
Miguel Llera,64,40,52,59,45,61,75
Enric Pi,64,69,65,49,54,63,72
Bustos,64,67,62,65,59,56,72
I. Ershov,64,54,45,50,51,64,69
R. Nakhushev,64,66,63,58,62,64,72
D. Smirnov,64,49,55,59,51,61,76
B. Ślusarski,64,61,62,54,60,37,68
M. Wiig,64,76,63,51,63,38,68
A. Cordaz,64,,,,,,
C. Valeri,64,66,52,65,61,55,70
J. Absalonsen,64,77,64,60,67,29,65
G. Elokobi,64,55,41,53,47,66,89
T. Sokolowski,64,66,62,67,59,56,76
Felipe Saad,64,61,48,45,50,63,70
T. Perkins,64,,,,,,
L. Benítez,64,48,62,68,66,57,51
S. Nelson,64,,,,,,
D. Tumasyan,64,60,42,47,43,67,65
R. Jones,64,34,30,43,31,65,77
Kang Min Soo,64,69,37,48,53,59,78
Hwang Ji Soo,64,67,48,61,63,60,79
Kim Seung Yong,64,73,63,67,64,45,57
A. Kure,64,51,32,38,46,65,73
D. Ambrose,64,56,66,66,64,41,54
C. Gratzei,64,,,,,,
A. Madaschi,64,50,40,48,46,64,76
G. MacKenzie,64,42,30,41,39,63,78
W. Hoskins,64,74,65,54,65,32,65
R. Wood,64,32,30,42,41,66,70
A. Álvarez,64,,,,,,
A. Olvera,64,64,48,60,65,64,67
I. Vázquez,64,,,,,,
P. Ćwielong,64,76,60,60,67,44,69
R. Kruys,64,51,54,62,61,58,65
D. Norris,64,52,65,64,66,58,68
T. Eriksson,64,62,57,66,60,50,65
J. de la Barrera,64,62,44,52,51,61,72
O. Werner,64,,,,,,
L. Esqueda,64,74,52,61,63,63,67
G. Rossini,64,41,68,46,44,31,69
S. Pirson,64,,,,,,
A. Rea,64,54,30,44,49,63,71
L. Ceccarelli,64,66,42,48,49,65,73
Nuno Piloto,64,58,57,68,66,59,64
Y. Rivière,64,59,66,48,57,29,73
N. Fauvergue,64,46,65,58,60,34,72
R. Colombo,64,,,,,,
J. Cobo,64,60,55,62,63,62,68
D. Gómez,64,71,47,65,68,24,45
C. Polito,64,,,,,,
Andreu,64,68,58,66,65,54,63
S. Wiseman,64,78,35,56,62,64,66
S. Gancarczyk,64,62,46,59,60,61,72
S. Veremko,64,,,,,,
J. Hoyte,64,79,33,56,58,61,68
C. Martínez,64,,,,,,
S. Penco,64,64,63,57,59,43,73
H. Aslantaş,64,69,48,60,57,63,71
L. Heinze,64,,,,,,
K. Langmead,64,47,49,30,38,65,77
E. Quintin,64,67,50,62,60,60,66
C. Brown,64,69,61,51,63,35,68
I. Valadéz,64,66,67,55,65,35,66
R. Almer,64,,,,,,
J. O'Connor,64,65,40,60,56,63,71
A. Gordon,64,51,62,55,58,38,75
G. Segares,64,69,53,58,60,63,74
R. Braber,64,44,63,57,65,58,69
D. Gargan,64,73,48,60,61,62,76
S. Dawson,64,72,46,62,60,56,81
Jacobo,64,75,66,63,69,33,61
Paulo Nagamura,64,69,63,61,64,58,72
B. Iwan,64,41,56,66,64,58,60
P. Golański,64,73,57,63,63,61,76
M. Bąk,64,,,,,,
Yang Dong Hyen,64,60,64,46,62,27,68
S. Hasani,64,72,61,49,61,34,71
Z. Scott,64,66,42,53,54,62,71
K. Árnason,64,32,58,65,59,59,79
S. Hagen,64,60,36,50,40,65,73
H. Al Montashari,64,69,37,46,47,65,69
T. Mikulic,64,58,43,54,55,65,70
A. Sheehan,64,65,52,67,63,60,64
T. Lee,64,,,,,,
G. Liddle,64,54,40,56,57,60,75
J. Yacuzzi,64,67,58,64,66,56,61
K. Yaroshenko,64,61,53,63,65,36,49
B. Ruytinx,64,54,67,55,48,39,85
Javi Moyano,64,82,44,55,64,60,75
Espasandín,64,71,39,63,61,59,72
M. Taouil,64,78,54,60,73,50,63
J. Hernández,64,66,62,62,64,37,61
E. Palos,64,,,,,,
Jona,64,,,,,,
R. Perticone,64,53,46,50,42,63,70
P. Wiśniewski,64,72,61,64,65,36,64
A. Moffat,64,55,65,62,64,57,72
B. Storm,64,62,56,63,66,44,60
B. Sadik,64,59,62,51,55,30,70
G. Coke,64,79,65,61,67,57,73
J. Hughes,64,70,65,64,64,39,62
K. McFadzean,64,58,35,42,37,63,79
K. Belhocine,64,49,46,59,48,65,68
Hugo Monteiro,64,76,59,58,67,33,54
Park Hee Chul,64,85,48,63,60,62,74
B. Fuchs,64,70,41,61,65,63,66
H. Soto,64,68,51,58,61,64,62
K. Zayatte,64,48,35,48,48,62,73
P. Cáceres,64,69,46,54,54,64,71
T. Pope,64,67,62,48,52,36,80
D. Oduro,64,96,63,50,63,37,66
A. Raineau,64,65,44,58,60,63,71
S. De Roover,64,70,48,51,64,64,66
Ernesto,64,50,62,74,60,36,51
E. Brambila,64,75,59,65,71,43,58
Schumacher,64,35,65,52,62,29,65
J. Pierazzi,64,66,46,57,57,61,73
H. Čale,64,54,49,57,56,66,66
M. Uslu,64,63,45,66,67,63,61
J. Wilmet,64,76,65,61,64,32,63
N. Núñez,64,69,43,64,65,63,67
C. Cortés,64,71,60,63,61,41,65
I. Baldanzeddu,64,73,34,54,56,59,72
Ione Cabrera,64,43,44,53,42,63,75
P. Rønning,64,65,38,48,53,60,79
C. Davies,64,69,63,53,66,31,61
B. Soumaré,64,63,35,47,48,62,81
R. Findley,64,91,62,53,65,31,59
S. Gillett,64,65,56,61,65,61,71
Fred,64,50,59,64,64,36,58
Isidoro,64,80,39,54,53,62,77
W. Al Gizani,64,73,64,49,60,30,67
M. Ivana,64,68,62,60,68,38,62
B. Knighton,64,,,,,,
N. Gerzic,64,65,54,69,68,37,53
B. Celeski,64,69,52,60,68,56,60
J. Hutchinson,64,53,54,61,64,56,74
R. Cornthwaite,64,43,39,40,34,67,75
E. Johansson,64,80,52,62,65,59,57
P. Londak,64,,,,,,
A. Schembri,64,72,63,61,65,31,66
J. Dladla,64,72,60,59,66,36,49
J. Rojas,64,72,53,61,61,62,72
A. Legzdins,64,,,,,,
S. Bouhours,64,58,32,60,53,67,70
R. Grzyb,64,71,51,60,58,64,71
O. Bagui,64,72,28,40,60,66,68
B. Sævarsson,64,80,44,56,60,63,71
M. Gazzola,64,72,50,60,63,59,74
S. Tüting,64,66,54,60,60,63,70
M. Kobras,64,,,,,,
V. Hernández,64,,,,,,
S. Ferrario,64,60,33,45,41,65,72
F. Lukšík,64,66,48,60,65,63,68
B. Webster,64,67,38,43,46,62,78
P. Šteinbors,64,,,,,,
Lee Yun Pyo,64,62,47,45,57,65,72
P. Torres,64,67,64,57,65,31,60
Ahn Jae Joon,64,61,25,43,49,62,78
J. Escobar,64,66,62,63,63,57,69
A. Norambuena,64,71,45,61,64,59,71
A. Pomini,64,,,,,,
N. Rnić,64,68,38,52,47,62,77
X. Luissint,64,72,57,57,60,64,68
Emilio Sanchez,64,65,62,72,68,42,56
Vinícius Reche,64,70,67,62,66,43,66
C. Tierney,64,66,52,61,61,65,66
M. Tubbs,64,69,65,52,60,28,59
L. Palmer,64,65,51,57,57,62,72
S. Al Bishi,64,44,45,37,47,63,74
A. Al Qahtani,64,78,55,56,66,41,76
A. Haghighi,64,,,,,,
Kim Young Sin,64,92,61,55,67,29,55
O. Stjepanovic,64,63,49,62,62,66,61
M. Bordachev,64,65,48,60,57,64,71
I. Picuşciac,64,58,66,49,61,29,56
R. Nouri,64,80,57,56,67,30,64
Galán,64,65,31,48,42,66,78
V. Jovanović,64,69,52,60,61,63,75
M. Chávez,64,86,61,59,71,45,56
B. Bonilla,64,51,37,43,43,63,78
L. Gutiérrez,64,62,43,41,48,64,77
I. Vélez,64,80,44,62,69,63,65
P. Portocarrero,64,33,25,35,28,68,67
L. Mosquera,64,75,56,62,67,30,62
O. Minda,64,69,55,62,60,62,74
S. Paulle,64,50,25,43,38,61,76
Cesar Soriano,64,71,35,56,52,62,75
G. Angoula,64,55,38,57,56,63,81
T. Barnett,64,82,61,42,61,30,69
J. Neumann,64,76,64,53,68,28,48
G. Blažević,64,,,,,,
E. Schiavon,64,74,50,64,65,52,74
R. Jež,64,67,66,69,65,61,51
Y. Betsch,64,54,37,57,56,60,78
A. Fabbro,64,34,35,41,35,63,77
M. Akyüz,64,75,64,59,64,40,73
F. Araujo,64,41,30,47,37,63,72
K. Rogulj,64,34,26,42,36,64,74
Pablo Infante,64,50,63,68,70,35,46
G. Achilier,64,60,25,41,46,70,75
H. Navarro,64,,,,,,
A. Popov,64,63,33,43,41,65,70
E. Bush,64,,,,,,
A. Laajab,64,66,67,49,74,31,53
O. Shevelyukhin,64,49,39,45,48,65,71
L. Becerra,64,70,59,63,65,35,60
C. Dobnik,64,,,,,,
F. Al Thunayyan,64,,,,,,
T. Buhumaid,64,76,55,59,61,42,66
F. Cheklam,64,49,33,33,33,64,83
F. Al Sobea,64,,,,,,
J. Arrieta,64,69,63,58,68,37,70
T. Göhlert,64,54,42,41,40,65,69
M. Abdel-Shafy,64,76,55,60,63,65,59
I. Garrido,64,43,27,34,38,64,70
J. Zea,64,72,32,53,63,63,55
J. Serpa,64,,,,,,
E. Cantero,64,55,68,46,60,29,74
D. Chica,64,64,53,64,67,52,56
S. Montesinos,64,49,33,38,36,61,78
J. Cisternas,64,58,55,68,64,57,55
B. Rieloff,64,60,55,50,61,65,76
H. Macías,64,49,29,34,41,65,64
J. Romero,64,76,39,61,68,65,57
R. Jérez,64,,,,,,
P. Pino,64,51,27,55,62,65,59
D. Rosende,64,67,46,60,61,61,65
V. Cortés,64,42,67,47,70,29,43
J. Montaño,64,56,60,61,66,64,71
G. Vallés,64,79,39,50,62,62,59
N. Ortiz,64,77,29,54,53,66,66
D. Leyes,64,53,38,42,51,67,70
C. Mansanelli,64,73,65,65,65,49,58
E. Gil,64,69,44,58,65,63,68
Hugo Álvarez,64,72,34,47,50,64,68
L. Delgado,64,57,30,42,45,64,67
M. Justesen,64,54,48,50,43,64,75
D. Monllor,64,,,,,,
Tom,64,71,62,62,66,27,57
D. Djikanovic,64,62,26,50,57,63,73
Gökçek Vederson,64,80,62,68,67,62,58
Leandro,64,64,35,53,57,65,65
G. Reyes,64,,,,,,
S. Del Mare,64,76,62,64,64,29,56
Y. Bnou-Marzuk,63,69,65,42,64,29,58
M. Sarr,63,67,28,51,57,63,64
J. Wilson,63,78,62,52,61,26,59
L. Hernández,63,69,50,49,60,63,61
A. Saint-Maximin,63,80,54,53,70,26,43
L. Crecco,63,72,57,59,63,57,66
J. Weigl,63,72,50,61,61,60,65
Caio Rangel,63,79,51,52,73,25,58
M. Piredda,63,67,54,64,70,34,40
J. Kimmich,63,69,51,63,68,56,63
A. Mitryushkin,63,,,,,,
Octávio,63,68,54,61,65,44,58
D. Gray,63,85,57,51,69,23,45
S. Yesil,63,75,63,44,71,26,47
B. de Jong,63,,,,,,
J. Ikoko,63,85,33,53,59,61,67
A. Boljević,63,79,58,52,69,23,46
B. Bolingoli Mbombo,63,83,56,54,66,60,72
K. Tete,63,77,33,53,67,62,68
Unai López,63,49,51,60,58,64,46
E. Koulouris,63,69,63,37,61,29,52
G. Bigirimana,63,74,52,66,67,56,63
E. Hewitt,63,86,27,57,66,59,66
C. Ramírez,63,80,39,55,66,59,66
C. Reilly,63,73,60,62,60,62,77
M. Kempf,63,61,32,47,54,64,65
O. Vlachodimos,63,,,,,,
Medrán,63,62,56,70,65,58,41
Wallace,63,59,27,36,39,64,70
Y. Kaabouni,63,73,53,64,68,53,59
T. Pellenard,63,71,32,52,59,62,67
G. Long,63,,,,,,
L. Krajnc,63,65,35,41,44,66,65
D. Chouchoumis,63,79,49,65,66,61,66
B. Adjei-Boateng,63,73,65,54,63,60,76
S. Gallagher,63,65,62,43,59,31,68
Lucas Evangelista,63,71,51,68,71,51,56
O. Álvarez,63,86,59,50,66,28,59
Rubén Yáñez,63,,,,,,
R. Vloet,63,65,62,59,62,29,64
K. Palmer,63,76,53,62,69,44,48
E. Hadžić,63,78,62,54,69,28,56
Adrián Ortolá,63,,,,,,
M. Chacón,63,74,44,59,68,59,64
M. Høibråten,63,65,35,44,53,61,70
M. Ishak,63,70,62,48,61,30,69
R. Strebinger,63,,,,,,
Samu Castillejo,63,80,50,57,69,27,39
B. Osborn,63,78,50,61,68,44,45
Etxeberría,63,66,29,52,51,63,64
S. O'Neill,63,76,52,56,59,61,73
Ricardo Alves,63,63,54,58,61,61,68
O. Mancilla,63,49,37,44,50,63,73
B. Ndoye,63,64,60,57,56,59,81
J. Silva,63,,,,,,
R. Di Gennaro,63,,,,,,
A. Camigliano,63,46,25,36,34,66,61
A. El Messaoudi,63,60,28,53,60,63,64
J. Fulton,63,71,54,61,64,38,63
T. Touré,63,79,62,54,64,43,61
N. Ioannidis,63,70,61,50,62,27,73
J. Schlupp,63,85,58,58,72,62,66
Miranda,63,,,,,,
L. Isgrove,63,79,50,57,67,28,57
T. Kainz,63,68,59,63,64,60,62
W. Van Tricht,63,72,59,61,65,47,61
K. Larsen,63,74,30,41,44,64,67
J. Van Rankin,63,70,37,61,63,61,62
T. Foket,63,70,54,63,68,60,67
W. Marinus,63,76,63,55,64,34,55
A. Bieler,63,67,57,61,65,55,70
T. Murg,63,81,57,59,73,28,45
B. Verstraete,63,72,46,61,65,60,59
M. Sarr,63,52,31,37,47,62,77
Luís Rocha,63,70,48,65,64,62,66
W. Troost-Ekong,63,68,26,39,35,62,75
F. Cornejo,63,74,46,60,67,59,69
C. Torres,63,71,55,64,66,36,48
F. Avenatti,63,61,62,42,55,30,72
Álvaro Tierno,63,66,57,66,65,42,61
W. Dammers,63,68,65,41,61,27,53
R. Gosens,63,66,48,60,61,59,68
Y. Barbet,63,65,35,54,55,63,66
N. Bärkroth,63,86,58,61,66,27,55
D. Ragatzu,63,91,57,57,69,25,53
A. Chicksen,63,77,51,58,61,61,63
P. Downing,63,66,36,49,45,63,69
J. Taylor,63,73,54,61,66,49,57
M. Amini,63,67,61,60,67,51,59
E. Martinez,63,,,,,,
L. Spinazzola,63,78,62,58,68,30,63
K. Karikari,63,77,61,55,60,27,72
W. Packwood,63,72,51,52,49,62,71
G. Hall,63,65,38,41,42,64,70
E. Krafth,63,79,44,60,63,56,67
Amorim,63,71,34,50,61,66,66
A. Blomqvist,63,68,64,64,67,48,61
J. Streutker,63,64,40,50,55,63,63
J. Pelupessy,63,69,41,62,68,58,55
G. Hernández,63,71,57,65,69,63,61
Y. Al Fahmi,63,85,67,53,69,26,61
Ricardo Ferreira,63,61,28,37,40,66,62
M. Elneny,63,66,62,65,65,57,70
C. Dawson,63,75,56,62,65,43,50
J. Park,63,71,60,59,67,36,40
M. Gersbeck,63,,,,,,
I. Ssewankambo,63,89,36,60,63,59,72
O. Hernández,63,68,59,62,63,38,51
L. Giannetti,63,69,32,37,34,63,71
Vinícius,63,78,50,62,69,60,69
M. Presentado,63,58,37,48,57,62,68
F. Monteseirín,63,53,34,46,57,60,69
Iker Guarrotxena,63,76,62,60,64,42,57
O. Gobern,63,67,49,60,61,63,64
